account_external_ref,external_id,client_id,total_income,total_spend,total_txn_count,gambling_spend,gambling_txn_count,gambling_days,gambling_pct_of_income,gambling_txn_pct,gambling_pct_of_spend,gambling_day_bucket,risk_score,risk_bucket,risk_reason
10000000000022406444,10000000000022406444,08a76f5e-3865-420a-a26d-363da07af560,554.46,-973.32,21,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
0c76f889-f200-34d7-974f-f10c5ad6b8f8,0c76f889-f200-34d7-974f-f10c5ad6b8f8,eace6fb1-5706-4379-87f9-f63276a88134,5584.12,-7040.48,114,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
ac946a1e-47f1-3ee5-a634-cf80e4e31462,ac946a1e-47f1-3ee5-a634-cf80e4e31462,97e38ca3-53fc-4ab5-80c8-efb655f9ebc9,1650.0,-2777.0,134,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
afe178f5-cc97-3517-8faa-82c219a5e605,afe178f5-cc97-3517-8faa-82c219a5e605,af3edfc5-cb25-4432-a932-6e14c18391cc,6479.64,-9527.59,83,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
9d4cb1a1-40fa-3e95-96c5-f4160f608370,9d4cb1a1-40fa-3e95-96c5-f4160f608370,227b4a57-51cc-4125-8c1e-2beeaa6b6672,1576.94,-1603.77,37,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
d4d2e2d9-2a7d-3d66-8f85-1f3b54e0258f,d4d2e2d9-2a7d-3d66-8f85-1f3b54e0258f,D03B5A7D-6425-48D6-9F69-BD96380D7580,4361.44,-2539.44,72,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
83CFF031AFC68202532358FFA53E3B02,83CFF031AFC68202532358FFA53E3B02,0342f4bb-6609-42a2-9918-169c91be3484,15815.15,-15837.94,184,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
926F5CF4DFBB75A4D0B8EFC6D884D40F,926F5CF4DFBB75A4D0B8EFC6D884D40F,F3B701FB-849A-452E-9B1F-6632AA8BB445,0.0,-1111.96,16,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
44A9A813CC122E690696FC740624F473,44A9A813CC122E690696FC740624F473,4C0B6387-9E8B-4B6B-9EEC-3B98B8596D1E,907.87,-1033.17,20,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
d6b3a7d0-4f8e-4363-b027-f7088aa77092,d6b3a7d0-4f8e-4363-b027-f7088aa77092,15182ded-fa8b-4822-94a0-0f8b2cca2fd2,100.0,-100.0,3,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
7bdd1800-ec61-3964-81ac-1d6663f9c042,7bdd1800-ec61-3964-81ac-1d6663f9c042,52120147-f524-4ad9-aca7-95486b5a97df,13111.92,-13227.54,400,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
